order_id,order_date,order_status,price,digital_product,customer_account_age,order_source,billing_zip,shipping_name_length,classification_score
945827823,2019-06-28,approved,16.44,FALSE,759,web,98109,9,0.999999577
932303597,2019-06-18,approved,150,TRUE,894,web,52761,0,0.999999211
916501223,2019-06-07,approved,105.94,FALSE,5160,web,60047,10,0.999999152
916516038,2019-06-07,approved,100,TRUE,1267,web,46516,0,0.999999124
925554558,2019-06-13,approved,225,TRUE,889,web,52761,0,0.99999909
926376779,2019-06-14,approved,50,TRUE,371,web,66062,0,0.999999053
915174097,2019-06-06,approved,51.9,TRUE,934,web,28206,0,0.999998972
924251285,2019-06-12,approved,30.95,TRUE,163,web,75254,0,0.999998931
930510195,2019-06-17,approved,300,TRUE,893,web,52761,0,0.999998919
950151025,2019-07-01,approved,14.94,FALSE,2160,web,10013,11,0.999998875
921075426,2019-06-10,approved,10216.47,FALSE,206,web,63141,15,0.999998847
912298033,2019-06-04,approved,1414.86,FALSE,461,web,3756,8,0.999998715
936157040,2019-06-21,approved,61.9,TRUE,125,web,60048,0,0.999998715
915095166,2019-06-06,approved,16.94,FALSE,0,web,55369,12,0.999998647
912640594,2019-06-04,approved,59.88,FALSE,971,web,75205,19,0.999998633
925733114,2019-06-13,approved,88.88,FALSE,976,web,92630,13,0.999998633
940643537,2019-06-25,approved,1382.41,FALSE,413,web,94404,13,0.999998561
913922130,2019-06-05,approved,225,TRUE,881,web,52761,0,0.999998561
925057032,2019-06-13,approved,14.94,FALSE,149,web,10013,9,0.999998441
915211142,2019-06-06,approved,2517.36,FALSE,216,web,92058,10,0.999998418
950366461,2019-07-01,approved,329.71,FALSE,355,web,93101,13,0.999998415
945619612,2019-06-28,approved,58.44,FALSE,770,web,46222,13,0.999998414
913989302,2019-06-05,approved,211.88,FALSE,848,web,14210,11,0.9999984
940231837,2019-06-24,approved,14.94,FALSE,2153,web,10013,15,0.99999839
915794522,2019-06-07,approved,175,TRUE,883,web,52761,0,0.999998306
927454792,2019-06-15,approved,114.41,FALSE,232,web,98104,15,0.999998275
940202726,2019-06-24,approved,55.95,TRUE,1061,web,60137,0,0.999998215
928532944,2019-06-15,approved,145.94,FALSE,540,web,90045,13,0.99999818
939853293,2019-06-24,approved,206.94,FALSE,1133,web,19130,11,0.999998167
933551199,2019-06-19,approved,14.94,FALSE,155,web,10013,15,0.999998112
933462513,2019-06-19,approved,14.94,FALSE,155,web,10013,11,0.999998092
916680136,2019-06-07,approved,105.94,FALSE,574,web,30326,9,0.999998059
934935179,2019-06-20,approved,156.94,FALSE,198,web,62401,15,0.999998035
930516390,2019-06-17,approved,14.94,FALSE,153,web,10013,11,0.999998022
929315055,2019-06-16,approved,49.21,TRUE,944,web,94403,0,0.999998008
930511997,2019-06-17,approved,14.94,FALSE,2146,web,10013,11,0.999997995
936214702,2019-06-21,approved,25,TRUE,704,web,21227,0,0.999997977
922752653,2019-06-11,approved,154.75,TRUE,923,web,92780,0,0.999997943
944087613,2019-06-27,approved,162.91,FALSE,5021,web,72120,14,0.999997939
